n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain,min_child_weight,subsample_freq,alpha,loss
476.0,0.06394861896441797,275.0,13.0,90.0,0.5983904130293296,0.5223911563224979,0.6466528859015015,0.8516852103904924,0.009622088314537036,2.9574648048006402,9.0,0.1,0.0017507967723187727
795.0,0.06653103467041631,93.0,9.0,76.0,0.5625939719553856,0.8688460666698498,0.3041345269537179,0.990304983635981,0.38772853360613957,3.799021878121647,10.0,0.2,0.0027579801178258256
390.0,0.057753395265237276,293.0,16.0,76.0,0.6941470852519501,0.9998224728559673,0.18938289958310256,0.49948809299404656,0.997282522147843,9.751074528558766,1.0,0.3,0.003422696503446582
559.0,0.03044300892722343,125.0,14.0,100.0,0.5015610644090343,0.6528266095537623,0.9956846972450254,0.3166884819983353,0.7949093540584227,9.892752566229454,2.0,0.4,0.0037824355974005225
636.0,0.037178714505645985,133.0,15.0,95.0,0.5004076909536965,0.8449067255125089,0.9259568266286473,0.548225754945999,0.45328274725453155,7.615959656066824,1.0,0.5,0.0038905711138347092
453.0,0.05549674817964827,22.0,15.0,38.0,0.5151675603052346,0.6817003278377113,0.326395656823541,0.7724919498618209,0.3803998855739471,9.27598986706765,4.0,0.6,0.00378831790675381
790.0,0.03352602936540174,27.0,5.0,39.0,0.9160785592074225,0.9929057797361858,0.1110056719666986,0.9571588429532014,0.5640622691364063,0.18864711165130288,1.0,0.7,0.00339773218731548
763.0,0.047615454982771456,104.0,5.0,8.0,0.6950098934468929,0.8911788862544456,0.5644102167475805,0.14024262266504917,0.7215920779511158,1.8878594853178794,3.0,0.8,0.0027594617125833642
706.0,0.040821425423978694,149.0,8.0,71.0,0.6410519061757723,0.9966269424266133,0.9696097669393856,0.9830753937901686,0.14237952325970127,9.595691037605638,1.0,0.9,0.0017804059691975266
